name,price,stars,reviews_count
"Amazon Basics - Matite colorate in confezione di latta da 72 pezzi, colori assortiti",16.04,0.9,703
"Castle Art Supplies Set di 72 Matite Colorate con Mine dallAnima Morbida per Artisti, Professionisti e Coloristi Adulti",32.78,0.94,21723
"Castle Art Supplies Set 120 Matite Colorate con Anima Morbida per Artisti, Professionisti e Coloristi Adulti, in Custodia Cernierata Facile Trasporto",53.27,0.94,11866
"Castle Arts, set di 24 matite colorate, colori perfetti per 'Seascape'. Set di matite da disegno, schizzi, matite da disegno...",17.2,0.92,6716
"Jovi 73424 Matite Colorate Woodless, 24 Pezzi, Colori Assortiti (734/24), Taglia Unica",NOT FOUND,0.88,1378
BIC Tropicolors pastello colorato,2.92,0.86,958
Matita colorata - STABILO color - Astuccio da 24 - Colori assortiti,7.08,0.88,7620
"H & B 122 Matite Colorate, Matite Colorate Professionali,Ideale Per Artisti Bambini Adulti Colorare,disegnare",25.4,0.94,342
"KALOUR set di 72 matite colorate, con nucleo morbido, perfette per disegnare e per creare ombre, ideale come regalo per adulti e principianti, nonch per gli artisti.",13.93,0.92,2394
"KALOUR Matite colorate professionali, set di 240 colori, con nucleo morbido e colori vivaci, ideali per disegnare schizzi, ombreggiature, matite colorate per adulti, artisti principianti",44.25,0.94,1500
"Shuttle Art 80 Matite Colorate Professionali (Numerato) Scatola Metallo, Libro da Colorare, 1 Blocco Disegno, 2 Temperini, 1 Estensore, Ideale per Artisti, Bambini, Adulti",20.48,0.92,2463
"KALOUR Matite colorate di alta qualit, set di 120 colori, con nucleo morbido e colori vivaci, ideali per disegnare schizzi, ombreggiature, matite colorate per adulti principianti",NOT FOUND,0.92,2228
"Faber-Castell 120124 - Set di matite colorate Castle, 24 pezzi, esagonali, infrangibili, per bambini e adulti",6.19,0.88,1564
"CARIOCA TITA, Matite Colorate, Set di Matite in Resina Esagonali, Pastelli per Bambini e Adulti, Ideali per Disegnare e Colorare, Scrittura Morbida, Colori Assortiti, 18 Pezzi",3.26,0.9,383
"Staedtler Matite colorate senza legno, multicolore, 12 Pezzi",2.66,0.92,7063
"Carioca Valigetta TITA | Matite Colorate e da Disegno, Scatola Portatile di Matite in Resina Esagonali con Mina Super Resistente alla Caduta, Colori Assortiti, 120 Pezzi",NOT FOUND,0.92,1331
Zenacolor 72 Matite Colorate (Numerato) con Scatola in Metallo 72 Colori Unici per Disegnare e Libri da Colorare - Facile Accesso con 3 Vassoi - Ideale per Artisti,NOT FOUND,0.92,9726
"Giotto Stilnovo Astuccio Da 24 Matite A Pastello Colorate, 3.3Mm, Multicolore, 24 Unit (Confezione da 1)",8.85,0.92,18658
NOT FOUND,21.4,0.9,1829
"Set di 72 Matite Colorate, Set Matite da Disegno con Borsa Nera Con Cerniera Portatile per Adulti e Artisti che Fanno Schizzi, Ombreggiature",19.66,0.94,1594
"TOPSEAS Matite Colorate Set,Set da 50 Pezzi Pastelli Colorati,Ideali per Sfumare e Stratificare,Art Supplies per libri da colorare per adulti o per il materiale scolastico dei bambini",12.89,0.9,932
